gene_name,interaction_types,drug_claim_primary_name,interaction_group_score,TARGET_NAME,TARGET_CLASS,ACT_VALUE,drug_approved,drug_avr_mass,drug_predicted_logp,drug_rule_of_five,drug_nr_targets,drug_nr_enzymes,drug_nr_carriers,drug_nr_transporters,POLAR_SURFACE_AREA,ROTATABLE_BOND_COUNT,HYDROGEN_BOND_DONORS,HYDROGEN_BOND_ACCEPTORS,RING_COUNT,ATOM_COUNT,FORMAL_CHARGE,CHIRAL_CENTER_COUNT
HTR2A,antagonist,trazodone,0.26,5-hydroxytryptamine receptor 2A,GPCR,7.35,True,371.864,3.1318566039999984,True,8,4,0,1,45.78,5,0,6,4,48,0,0.0
HTR2C,agonist,trazodone,0.25,5-hydroxytryptamine receptor 2C,GPCR,6.65,True,371.864,3.1318566039999984,True,8,4,0,1,45.78,5,0,6,4,48,0,0.0
SLC6A4,inhibitor,trazodone,0.23,Sodium-dependent serotonin transporter,Transporter,6.8,True,371.864,3.1318566039999984,True,8,4,0,1,45.78,5,0,6,4,48,0,0.0
PARP1,inhibitor,rucaparib,0.52,Poly [ADP-ribose] polymerase 1,Enzyme,8.5,True,323.371,2.454489927,True,3,10,0,10,56.92,3,3,2,4,42,0,0.0
PARP2,antagonist,rucaparib,1.23,Poly [ADP-ribose] polymerase 2,Enzyme,7.550000190734861,True,323.371,2.454489927,True,3,10,0,10,56.92,3,3,2,4,42,0,0.0
SLC22A8,inhibitor,probenecid,4.62,Solute carrier family 22 member 8,Transporter,,True,285.3590000000001,2.442872324333333,True,5,4,1,22,74.68,7,1,3,1,38,0,0.0
SLC22A6,inhibitor,probenecid,4.54,Solute carrier family 22 member 6,Transporter,4.9,True,285.3590000000001,2.442872324333333,True,5,4,1,22,74.68,7,1,3,1,38,0,0.0
CA14,inhibitor,brinzolamide,0.58,Carbonic anhydrase 14,Enzyme,7.62,True,383.507,-0.6745202669020238,True,5,1,0,0,118.8,7,2,7,2,44,0,1.0
CA2,inhibitor,brinzolamide,1.19,Carbonic anhydrase 2,Enzyme,9.9,True,383.507,-0.6745202669020238,True,5,1,0,0,118.8,7,2,7,2,44,0,1.0
CA5A,inhibitor,brinzolamide,2.03,"Carbonic anhydrase 5A, mitochondrial",Enzyme,7.3,True,383.507,-0.6745202669020238,True,5,1,0,0,118.8,7,2,7,2,44,0,1.0
CA1,inhibitor,brinzolamide,0.83,Carbonic anhydrase 1,Enzyme,8.52,True,383.507,-0.6745202669020238,True,5,1,0,0,118.8,7,2,7,2,44,0,1.0
CA7,inhibitor,brinzolamide,0.51,Carbonic anhydrase 7,Enzyme,8.55,True,383.507,-0.6745202669020238,True,5,1,0,0,118.8,7,2,7,2,44,0,1.0
GPR35,agonist,bumetanide,0.22,G-protein coupled receptor 35,GPCR,5.54,True,364.416,2.423461698376048,True,5,1,0,6,118.72,8,3,5,2,45,0,0.0
HRH1,antagonist,diphenhydramine,0.46,Histamine H1 receptor,GPCR,7.81,True,255.3547,3.651907262,True,2,4,0,2,12.47,6,0,2,2,40,0,0.0
CHRM2,antagonist,diphenhydramine,0.12,Muscarinic acetylcholine receptor M2,GPCR,6.9208,True,255.3547,3.651907262,True,2,4,0,2,12.47,6,0,2,2,40,0,0.0
CHRM3,antagonist,oxybutynin,0.82,Muscarinic acetylcholine receptor M3,GPCR,9.11,True,357.4864,4.438075326666665,True,3,4,2,0,49.77,7,1,4,2,57,0,1.0
CHRM1,antagonist,oxybutynin,0.53,Muscarinic acetylcholine receptor M1,GPCR,9.0,True,357.4864,4.438075326666665,True,3,4,2,0,49.77,7,1,4,2,57,0,1.0
CHRM5,antagonist,oxybutynin,0.1,Muscarinic acetylcholine receptor M5,GPCR,7.85,True,357.4864,4.438075326666665,True,3,4,2,0,49.77,7,1,4,2,57,0,1.0
CHRM4,antagonist,oxybutynin,0.1,Muscarinic acetylcholine receptor M4,GPCR,8.44,True,357.4864,4.438075326666665,True,3,4,2,0,49.77,7,1,4,2,57,0,1.0
ADRA2C,agonist,guanabenz,0.14,Alpha-2C adrenergic receptor,GPCR,6.793174124,True,231.082,1.713098971,True,2,1,0,0,74.26,2,3,2,1,22,0,0.0
ADRA2B,agonist,guanabenz,0.46,Alpha-2B adrenergic receptor,GPCR,7.167491087,True,231.082,1.713098971,True,2,1,0,0,74.26,2,3,2,1,22,0,0.0
RXRG,agonist,bexarotene,7.1,Retinoic acid receptor RXR-gamma,Nuclear hormone receptor,8.08,True,348.4779,6.940537397666668,False,3,2,0,0,37.3,3,1,1,3,54,0,0.0
RXRB,agonist,bexarotene,6.04,Retinoic acid receptor RXR-beta,Nuclear hormone receptor,8.23,True,348.4779,6.940537397666668,False,3,2,0,0,37.3,3,1,1,3,54,0,0.0
PPARG,antagonist,bexarotene,0.03,Peroxisome proliferator-activated receptor gamma,Nuclear hormone receptor,5.52,True,348.4779,6.940537397666668,False,3,2,0,0,37.3,3,1,1,3,54,0,0.0
TYR,inhibitor,mequinol,4.73,Tyrosinase,Enzyme,,True,124.1372,1.5120092286666669,True,0,0,0,0,29.46,1,1,2,1,17,0,0.0
CHRM3,antagonist,cyproheptadine,0.06,Muscarinic acetylcholine receptor M3,GPCR,8.0,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
ADRA1B,antagonist,cyproheptadine,0.04,Alpha-1B adrenergic receptor,GPCR,7.6,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
CHRM1,antagonist,cyproheptadine,0.06,Muscarinic acetylcholine receptor M1,GPCR,8.0,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
HTR2A,antagonist,cyproheptadine,0.18,5-hydroxytryptamine receptor 2A,GPCR,8.4192,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
ADRA1A,antagonist,cyproheptadine,0.02,Alpha-1A adrenergic receptor,GPCR,7.4,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
HTR6,antagonist,cyproheptadine,0.09,5-hydroxytryptamine receptor 6,GPCR,6.8,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
HTR2C,antagonist,cyproheptadine,0.07,5-hydroxytryptamine receptor 2C,GPCR,8.6517,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
CHRM2,antagonist,cyproheptadine,0.07,Muscarinic acetylcholine receptor M2,GPCR,8.0,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
ADRA1D,antagonist,cyproheptadine,0.06,Alpha-1D adrenergic receptor,GPCR,6.9,True,287.3981,4.382841646999999,True,7,1,0,0,3.24,0,0,1,4,43,0,0.0
ACHE,inhibitor,tacrine,2.27,Acetylcholinesterase,Enzyme,7.14,True,198.2637,2.628144685,True,3,1,0,1,38.91,0,1,2,3,29,0,0.0
BCHE,inhibitor,tacrine,1.32,Cholinesterase,Enzyme,8.61,True,198.2637,2.628144685,True,3,1,0,1,38.91,0,1,2,3,29,0,0.0
PTGS2,inhibitor,piroxicam,0.42,Prostaglandin G/H synthase 2,Enzyme,4.7,True,331.346,0.5998838320211013,True,2,2,1,4,96.44,2,1,5,3,36,0,0.0
SLC6A3,inhibitor,atomoxetine,0.17,Sodium-dependent dopamine transporter,Transporter,5.97,True,255.3547,3.8087924510000004,True,5,2,3,0,21.26,6,1,2,2,40,0,1.0
SLC6A4,inhibitor,atomoxetine,0.4,Sodium-dependent serotonin transporter,Transporter,8.05,True,255.3547,3.8087924510000004,True,5,2,3,0,21.26,6,1,2,2,40,0,1.0
BRAF,inhibitor,regorafenib,0.18,Serine/threonine-protein kinase B-raf,Kinase,7.55,True,482.815,4.486031697,True,18,6,0,2,92.35,5,3,4,3,48,0,0.0
KDR,inhibitor,regorafenib,0.14,Vascular endothelial growth factor receptor 2,Kinase,7.9,True,482.815,4.486031697,True,18,6,0,2,92.35,5,3,4,3,48,0,0.0
ADRA2B,antagonist,mirtazapine,0.06,Alpha-2B adrenergic receptor,GPCR,6.65,True,265.3529,3.207982755,True,7,3,0,1,19.37,0,0,3,4,39,0,1.0
HTR2A,antagonist,mirtazapine,0.18,5-hydroxytryptamine receptor 2A,GPCR,7.16,True,265.3529,3.207982755,True,7,3,0,1,19.37,0,0,3,4,39,0,1.0
ADRA2C,antagonist,mirtazapine,0.1,Alpha-2C adrenergic receptor,GPCR,7.74,True,265.3529,3.207982755,True,7,3,0,1,19.37,0,0,3,4,39,0,1.0
HRH1,antagonist,mirtazapine,0.07,Histamine H1 receptor,GPCR,8.7959,True,265.3529,3.207982755,True,7,3,0,1,19.37,0,0,3,4,39,0,1.0
ADRA1A,antagonist,mirtazapine,0.09,Alpha-1A adrenergic receptor,GPCR,5.5,True,265.3529,3.207982755,True,7,3,0,1,19.37,0,0,3,4,39,0,1.0
SLC29A4,inhibitor,quinine,0.43,Equilibrative nucleoside transporter 4,Transporter,4.57,True,324.4168,2.5134639506666683,True,3,10,0,7,45.59,4,1,4,5,48,0,5.0
KCNB2,blocker,quinine,0.95,Potassium voltage-gated channel subfamily B member 2,Ion channel,4.9,True,324.4168,2.5134639506666683,True,3,10,0,7,45.59,4,1,4,5,48,0,5.0
ADRB1,antagonist,nadolol,1.26,Beta-1 adrenergic receptor,GPCR,6.9,True,309.4006,0.8654279130000008,True,2,0,1,5,81.95,5,4,5,2,49,0,3.0
ADRB2,antagonist,nadolol,0.9,Beta-2 adrenergic receptor,GPCR,8.6,True,309.4006,0.8654279130000008,True,2,0,1,5,81.95,5,4,5,2,49,0,3.0
ADRB3,antagonist,nadolol,0.22,Beta-3 adrenergic receptor,GPCR,6.3,True,309.4006,0.8654279130000008,True,2,0,1,5,81.95,5,4,5,2,49,0,3.0
KCNH2,blocker,ibutilide,0.14,Potassium voltage-gated channel subfamily H member 2,Ion channel,8.0,True,384.576,2.542652195191505,True,10,0,0,0,69.64,14,2,4,1,62,0,1.0
BCHE,antagonist,pyridostigmine,0.96,Cholinesterase,Enzyme,5.46,True,181.2117,-3.4667273988050784,True,3,0,0,0,33.42,1,0,2,1,26,1,0.0
ACHE,"antagonist,inhibitor",pyridostigmine,1.15,Acetylcholinesterase,Enzyme,4.71,True,181.2117,-3.4667273988050784,True,3,0,0,0,33.42,1,0,2,1,26,1,0.0
AVPR1B,agonist,desmopressin,6.31,Vasopressin V1b receptor,GPCR,9.43,True,1069.22,-6.128255121522684,False,3,2,0,0,437.91,19,13,15,4,138,0,7.0
AVPR2,agonist,desmopressin,3.68,Vasopressin V2 receptor,GPCR,8.3,True,1069.22,-6.128255121522684,False,3,2,0,0,437.91,19,13,15,4,138,0,7.0
OPRM1,antagonist,pentazocine,0.78,Mu-type opioid receptor,GPCR,8.408999999999999,True,285.4238,3.893620046077092,True,3,0,0,1,23.47,2,1,2,3,48,0,3.0
SIGMAR1,agonist,pentazocine,3.87,Sigma non-opioid intracellular receptor 1,Membrane receptor,8.76,True,285.4238,3.893620046077092,True,3,0,0,1,23.47,2,1,2,3,48,0,3.0
DNMT1,inhibitor,azacitidine,0.97,DNA (cytosine-5)-methyltransferase 1,Enzyme,,True,244.2047,-3.065332952,True,3,1,0,0,143.72,2,4,9,2,29,0,4.0
DNMT3A,inhibitor,azacitidine,0.28,DNA (cytosine-5)-methyltransferase 3A,Enzyme,,True,244.2047,-3.065332952,True,3,1,0,0,143.72,2,4,9,2,29,0,4.0
CACNA1I,inhibitor,flunarizine,1.64,Voltage-dependent T-type calcium channel subunit alpha-1I,Ion channel,6.08,True,404.4948,6.165795012666668,False,5,6,0,0,6.48,6,0,2,4,56,0,0.0
CACNA1G,inhibitor,flunarizine,1.58,Voltage-dependent T-type calcium channel subunit alpha-1G,Ion channel,6.28,True,404.4948,6.165795012666668,False,5,6,0,0,6.48,6,0,2,4,56,0,0.0
FDPS,inhibitor,zoledronic acid,2.84,Farnesyl pyrophosphate synthase,Enzyme,10.15,True,272.0896,-3.851108564002269,True,3,0,0,1,153.11,4,5,5,1,26,0,0.0
GGPS1,inhibitor,zoledronic acid,,Geranylgeranyl pyrophosphate synthase,Enzyme,5.57,True,272.0896,-3.851108564002269,True,3,0,0,1,153.11,4,5,5,1,26,0,0.0
DRD4,antagonist,perospirone,0.33,D(4) dopamine receptor,GPCR,10.05,False,426.58,3.7354490443333335,True,6,4,0,0,56.75,6,0,6,5,60,0,2.0
DRD2,antagonist,perospirone,0.12,D(2) dopamine receptor,GPCR,9.22,False,426.58,3.7354490443333335,True,6,4,0,0,56.75,6,0,6,5,60,0,2.0
DRD3,antagonist,perospirone,0.08,D(3) dopamine receptor,GPCR,9.55,False,426.58,3.7354490443333335,True,6,4,0,0,56.75,6,0,6,5,60,0,2.0
FKBP1A,potentiator,pimecrolimus,3.99,Peptidyl-prolyl cis-trans isomerase FKBP1A,Enzyme,9.0,True,810.46,6.808131370666668,False,2,1,0,0,158.13,6,2,11,4,124,0,14.0
RARG,agonist,tamibarotene,0.65,Retinoic acid receptor gamma,Nuclear hormone receptor,6.23,False,351.4388,5.349100168333335,False,2,0,1,0,66.4,3,2,2,3,51,0,0.0
ADRA1B,antagonist,silodosin,0.51,Alpha-1B adrenergic receptor,GPCR,7.7,True,495.5345,3.04673584,True,3,2,0,2,97.05,13,3,6,3,67,0,1.0
ADRA1D,antagonist,silodosin,0.8,Alpha-1D adrenergic receptor,GPCR,8.7,True,495.5345,3.04673584,True,3,2,0,2,97.05,13,3,6,3,67,0,1.0
DDC,inhibitor,benserazide,5.68,Aromatic-L-amino-acid decarboxylase,Enzyme,,True,257.246,-1.9020041327408348,False,1,0,0,0,148.07,5,7,7,1,33,0,1.0
BTK,inhibitor,acalabrutinib,0.32,Tyrosine-protein kinase BTK,Kinase,8.29243,True,465.517,2.561967257666668,True,1,3,2,0,118.51,5,2,7,5,58,0,1.0
ERBB4,inhibitor,acalabrutinib,0.1,Receptor tyrosine-protein kinase erbB-4,Kinase,7.79588,True,465.517,2.561967257666668,True,1,3,2,0,118.51,5,2,7,5,58,0,1.0
LYN,inhibitor,acalabrutinib,0.09,Tyrosine-protein kinase Lyn,Kinase,6.0,True,465.517,2.561967257666668,True,1,3,2,0,118.51,5,2,7,5,58,0,1.0
TEC,inhibitor,acalabrutinib,0.68,Tyrosine-protein kinase Tec,Kinase,7.031517,True,465.517,2.561967257666668,True,1,3,2,0,118.51,5,2,7,5,58,0,1.0
TXK,inhibitor,acalabrutinib,0.68,Tyrosine-protein kinase TXK,Kinase,6.434152,True,465.517,2.561967257666668,True,1,3,2,0,118.51,5,2,7,5,58,0,1.0
BMX,inhibitor,acalabrutinib,0.68,Cytoplasmic tyrosine-protein kinase BMX,Kinase,7.337242,True,465.517,2.561967257666668,True,1,3,2,0,118.51,5,2,7,5,58,0,1.0
SLC22A12,inhibitor,sulfinpyrazone,2.37,Solute carrier family 22 member 12,Transporter,4.0,True,404.482,3.187408559666668,True,4,4,1,7,64.23,6,1,5,4,49,0,1.0
MTOR,inhibitor,temsirolimus,0.4,Serine/threonine-protein kinase mTOR,Kinase,5.75,True,1030.2871,7.129959347000002,False,1,4,0,1,241.96,10,4,16,4,160,0,15.0
FKBP1A,inhibitor,temsirolimus,0.2,Peptidyl-prolyl cis-trans isomerase FKBP1A,Enzyme,,True,1030.2871,7.129959347000002,False,1,4,0,1,241.96,10,4,16,4,160,0,15.0
ESR2,agonist,ethinylestradiol,0.04,Estrogen receptor beta,Nuclear hormone receptor,8.09,True,296.4034,3.897353088000002,True,2,14,2,5,40.46,0,2,2,4,46,0,5.0
ESR1,agonist,ethinylestradiol,0.19,Estrogen receptor,Nuclear hormone receptor,9.83,True,296.4034,3.897353088000002,True,2,14,2,5,40.46,0,2,2,4,46,0,5.0
NR3C1,agonist,methylprednisolone,0.23,Glucocorticoid receptor,Nuclear hormone receptor,8.5,True,374.4706,1.5600090206666664,True,2,10,1,1,94.83,2,3,5,4,57,0,8.0
KCNH1,blocker,astemizole,0.95,Potassium voltage-gated channel subfamily H member 1,Ion channel,6.7,True,458.5703,5.389652434333334,False,4,5,0,2,42.32,8,1,5,5,65,0,0.0
FKBP1A,inhibitor,tacrolimus,0.62,Peptidyl-prolyl cis-trans isomerase FKBP1A,Enzyme,9.398,True,804.0182,5.594120193333335,False,1,2,2,3,178.36,7,3,12,4,126,0,14.0
AVPR1A,agonist,oxytocin,0.53,Vasopressin V1a receptor,GPCR,6.9101,True,1007.187,,False,1,2,1,1,399.53,17,12,15,3,135,0,9.0
AVPR2,agonist,oxytocin,0.47,Vasopressin V2 receptor,GPCR,6.1,True,1007.187,,False,1,2,1,1,399.53,17,12,15,3,135,0,9.0
HRH1,inverse agonist,hydroxyzine,0.42,Histamine H1 receptor,GPCR,8.699,True,374.904,3.4129695053333338,True,2,3,1,1,35.94,8,1,4,3,53,0,1.0
PPARA,agonist,clofibrate,0.49,Peroxisome proliferator-activated receptor alpha,Nuclear hormone receptor,4.25,True,242.699,3.401834674,True,1,5,1,0,35.53,4,0,3,1,31,0,0.0
HTR1A,agonist,vilazodone,0.32,5-hydroxytryptamine receptor 1A,GPCR,9.7,True,441.5249,3.715303905999999,True,2,3,0,0,102.29,7,2,5,5,60,0,0.0
DRD2,agonist,vilazodone,0.04,D(2) dopamine receptor,GPCR,6.18,True,441.5249,3.715303905999999,True,2,3,0,0,102.29,7,2,5,5,60,0,0.0
DRD3,agonist,vilazodone,0.08,D(3) dopamine receptor,GPCR,7.15,True,441.5249,3.715303905999999,True,2,3,0,0,102.29,7,2,5,5,60,0,0.0
HRH1,agonist,vilazodone,0.04,Histamine H1 receptor,GPCR,6.5,True,441.5249,3.715303905999999,True,2,3,0,0,102.29,7,2,5,5,60,0,0.0
HTR4,agonist,vilazodone,0.23,5-hydroxytryptamine receptor 4,GPCR,6.6,True,441.5249,3.715303905999999,True,2,3,0,0,102.29,7,2,5,5,60,0,0.0
SLC6A4,inhibitor,vilazodone,0.46,Sodium-dependent serotonin transporter,Transporter,9.3,True,441.5249,3.715303905999999,True,2,3,0,0,102.29,7,2,5,5,60,0,0.0
ADRB1,agonist,xamoterol,1.35,Beta-1 adrenergic receptor,GPCR,7.75,True,339.392,-0.8208274645547786,True,1,0,0,0,103.29,8,4,6,2,49,0,1.0
ELANE,inhibitor,sivelestat,12.91,Neutrophil elastase,Enzyme,6.7,False,434.46,2.4200081700000005,True,0,0,0,0,138.87,7,3,6,2,52,0,0.0
NR3C1,agonist,dexamethasone,0.06,Glucocorticoid receptor,Nuclear hormone receptor,8.88,True,392.4611,1.6815696796666673,True,5,15,1,6,94.83,2,3,5,4,57,0,8.0
NR3C2,agonist,dexamethasone,0.02,Mineralocorticoid receptor,Nuclear hormone receptor,9.0,True,392.4611,1.6815696796666673,True,5,15,1,6,94.83,2,3,5,4,57,0,8.0
ANXA1,agonist,dexamethasone,0.18,Annexin A1,Cytosolic other,,True,392.4611,1.6815696796666673,True,5,15,1,6,94.83,2,3,5,4,57,0,8.0
KCNH1,blocker,dofetilide,0.39,Potassium voltage-gated channel subfamily H member 1,Ion channel,7.5,True,441.565,0.2379157528062352,True,3,1,0,1,104.81,11,2,6,2,56,0,0.0
ADRB2,antagonist,sotalol,0.31,Beta-2 adrenergic receptor,GPCR,6.24,True,272.36400000000003,-0.3950640027108308,True,3,1,0,0,78.43,6,3,4,1,38,0,1.0
NR3C1,agonist,clobetasol propionate,,Glucocorticoid receptor,Nuclear hormone receptor,9.179142011,True,466.97,4.177822793000002,True,3,2,2,0,80.67,4,1,5,4,64,0,8.0
ANXA1,inducer,clobetasol propionate,,Annexin A1,Cytosolic other,,True,466.97,4.177822793000002,True,3,2,2,0,80.67,4,1,5,4,64,0,8.0
PTGS2,inhibitor,diflunisal,1.02,Prostaglandin G/H synthase 2,Enzyme,5.09,True,250.1976,3.909892637,True,2,2,2,1,57.53,2,2,2,2,26,0,0.0
ALOX5,inhibitor,sulfasalazine,0.26,Arachidonate 5-lipoxygenase,Enzyme,,True,398.393,4.247607462666666,True,10,0,0,6,141.31,6,3,7,3,42,0,0.0
TBXAS1,antagonist,sulfasalazine,0.65,Thromboxane-A synthase,Enzyme,4.70688063,True,398.393,4.247607462666666,True,10,0,0,6,141.31,6,3,7,3,42,0,0.0
SLC7A11,inhibitor,sulfasalazine,0.84,Cystine/glutamate transporter,Transporter,4.52,True,398.393,4.247607462666666,True,10,0,0,6,141.31,6,3,7,3,42,0,0.0
SLC46A1,inhibitor,sulfasalazine,0.49,Proton-coupled folate transporter,Transporter,4.2,True,398.393,4.247607462666666,True,10,0,0,6,141.31,6,3,7,3,42,0,0.0
CACNA1C,inhibitor,nisoldipine,0.4,Voltage-dependent L-type calcium channel subunit alpha-1C,Ion channel,7.1,True,388.4144,3.059797457666667,True,5,3,0,1,107.77,6,1,7,2,52,0,1.0
CACNA1D,inhibitor,nisoldipine,0.29,Voltage-dependent L-type calcium channel subunit alpha-1D,Ion channel,,True,388.4144,3.059797457666667,True,5,3,0,1,107.77,6,1,7,2,52,0,1.0
NISCH,agonist,tizanidine,12.62,Nischarin,Membrane receptor,7.55,True,253.711,2.024673073,True,3,1,0,0,62.2,1,2,4,3,24,0,0.0
CA1,inhibitor,benzthiazide,0.73,Carbonic anhydrase 1,Enzyme,,True,431.937,1.840787007666666,True,7,0,0,0,118.69,5,2,6,3,40,0,0.0
SLC12A3,inhibitor,benzthiazide,3.16,Solute carrier family 12 member 3,Transporter,8.17,True,431.937,1.840787007666666,True,7,0,0,0,118.69,5,2,6,3,40,0,0.0
CA4,inhibitor,benzthiazide,0.93,Carbonic anhydrase 4,Enzyme,,True,431.937,1.840787007666666,True,7,0,0,0,118.69,5,2,6,3,40,0,0.0
ALDH2,inhibitor,disulfiram,0.97,"Aldehyde dehydrogenase, mitochondrial",Enzyme,,True,296.539,4.159758921999999,True,2,3,0,1,6.48,4,0,4,0,36,0,0.0
PTGS1,inhibitor,naproxen,0.34,Prostaglandin G/H synthase 1,Enzyme,4.96,True,230.2592,2.9857858746666657,True,3,10,1,5,46.53,3,1,2,2,31,0,1.0
PTGS2,inhibitor,naproxen,0.58,Prostaglandin G/H synthase 2,Enzyme,5.6,True,230.2592,2.9857858746666657,True,3,10,1,5,46.53,3,1,2,2,31,0,1.0
NR3C2,antagonist,spironolactone,1.05,Mineralocorticoid receptor,Nuclear hormone receptor,9.8844,True,416.573,3.636754577333333,True,10,2,2,4,60.44,1,0,5,5,61,0,7.0
AR,antagonist,spironolactone,0.01,Androgen receptor,Nuclear hormone receptor,7.4,True,416.573,3.636754577333333,True,10,2,2,4,60.44,1,0,5,5,61,0,7.0
PGR,agonist,spironolactone,0.06,Progesterone receptor,Transcription factor,6.663140179,True,416.573,3.636754577333333,True,10,2,2,4,60.44,1,0,5,5,61,0,7.0
NR3C1,antagonist,spironolactone,0.03,Glucocorticoid receptor,Nuclear hormone receptor,6.2272,True,416.573,3.636754577333333,True,10,2,2,4,60.44,1,0,5,5,61,0,7.0
PTGIR,agonist,beraprost,4.21,Prostacyclin receptor,GPCR,8.37,False,420.4738,3.5970807350000005,True,1,1,0,0,86.99,8,3,4,3,59,0,6.0
PTGER4,agonist,beraprost,0.95,Prostaglandin E2 receptor EP4 subtype,GPCR,5.14,False,420.4738,3.5970807350000005,True,1,1,0,0,86.99,8,3,4,3,59,0,6.0
PTGER3,agonist,beraprost,1.05,Prostaglandin E2 receptor EP3 subtype,GPCR,6.17,False,420.4738,3.5970807350000005,True,1,1,0,0,86.99,8,3,4,3,59,0,6.0
SLC18A2,inducer,benzphetamine,0.67,Synaptic vesicular amine transporter,Transporter,,True,239.3553,4.34435193,True,4,3,0,0,3.24,5,0,1,2,39,0,1.0
CPT1A,inhibitor,perhexiline,23.67,"Carnitine O-palmitoyltransferase 1, liver isoform",Enzyme,,True,277.4879,5.5313085483333335,False,3,3,0,0,12.03,4,1,1,3,55,0,1.0
CHRM1,antagonist,tropicamide,0.19,Muscarinic acetylcholine receptor M1,GPCR,7.167491087,True,284.3529,1.3772273896666662,True,4,0,0,0,53.43,6,1,3,2,41,0,1.0
CHRM2,antagonist,tropicamide,0.24,Muscarinic acetylcholine receptor M2,GPCR,7.431798276,True,284.3529,1.3772273896666662,True,4,0,0,0,53.43,6,1,3,2,41,0,1.0
CHRM3,antagonist,tropicamide,0.41,Muscarinic acetylcholine receptor M3,GPCR,7.522878745,True,284.3529,1.3772273896666662,True,4,0,0,0,53.43,6,1,3,2,41,0,1.0
SSTR2,agonist,lanreotide,1.89,Somatostatin receptor type 2,GPCR,9.6,True,1096.33,-0.3327616914464849,False,2,1,0,0,355.08,17,13,14,6,146,0,9.0
SSTR3,agonist,lanreotide,0.87,Somatostatin receptor type 3,GPCR,8.0,True,1096.33,-0.3327616914464849,False,2,1,0,0,355.08,17,13,14,6,146,0,9.0
CYP2B6,inhibitor,ticlopidine,0.25,Cytochrome P450 2B6,Enzyme,6.7,True,263.786,4.195930255999999,True,1,8,0,0,3.24,2,0,2,3,31,0,0.0
OPRK1,agonist,nalfurafine,0.51,Kappa-type opioid receptor,GPCR,9.75,False,476.573,2.238659811787697,True,0,0,0,0,86.38,5,2,6,7,67,0,5.0
OPRM1,agonist,eluxadoline,0.65,Mu-type opioid receptor,GPCR,8.76955127716065,True,569.6619999999998,1.7984149328863572,False,3,0,0,3,164.63,11,4,6,4,77,0,2.0
OPRK1,agonist,eluxadoline,0.17,Kappa-type opioid receptor,GPCR,7.259637355804441,True,569.6619999999998,1.7984149328863572,False,3,0,0,3,164.63,11,4,6,4,77,0,2.0
ADRB1,antagonist,propafenone,0.12,Beta-1 adrenergic receptor,GPCR,6.6882461389999985,True,341.444,3.5367225463333334,True,4,3,0,1,58.56,11,2,4,2,52,0,1.0
ADRB2,antagonist,propafenone,0.09,Beta-2 adrenergic receptor,GPCR,7.443697499,True,341.444,3.5367225463333334,True,4,3,0,1,58.56,11,2,4,2,52,0,1.0
KCNA5,blocker,propafenone,0.25,Potassium voltage-gated channel subfamily A member 5,Ion channel,4.4,True,341.444,3.5367225463333334,True,4,3,0,1,58.56,11,2,4,2,52,0,1.0
PPARG,agonist,rosiglitazone,0.23,Peroxisome proliferator-activated receptor gamma,Nuclear hormone receptor,7.04,True,357.427,2.4463478986056937,True,7,7,1,2,78.45,7,2,6,3,44,0,1.0
FFAR1,agonist,rosiglitazone,0.13,Free fatty acid receptor 1,GPCR,5.6,True,357.427,2.4463478986056937,True,7,7,1,2,78.45,7,2,6,3,44,0,1.0
TRPC5,activator,rosiglitazone,0.12,Short transient receptor potential channel 5,Ion channel,4.51,True,357.427,2.4463478986056937,True,7,7,1,2,78.45,7,2,6,3,44,0,1.0
DRD3,antagonist,pimozide,0.07,D(3) dopamine receptor,GPCR,9.0455,True,461.5462,5.825713467999999,False,4,5,0,1,41.03,7,1,3,5,63,0,0.0
HTR2A,antagonist,pimozide,0.02,5-hydroxytryptamine receptor 2A,GPCR,7.5585,True,461.5462,5.825713467999999,False,4,5,0,1,41.03,7,1,3,5,63,0,0.0
DRD2,antagonist,pimozide,0.12,D(2) dopamine receptor,GPCR,8.8623,True,461.5462,5.825713467999999,False,4,5,0,1,41.03,7,1,3,5,63,0,0.0
HTR1A,antagonist,pimozide,0.01,5-hydroxytryptamine receptor 1A,GPCR,6.63,True,461.5462,5.825713467999999,False,4,5,0,1,41.03,7,1,3,5,63,0,0.0
DRD4,antagonist,pimozide,0.03,D(4) dopamine receptor,GPCR,8.7447,True,461.5462,5.825713467999999,False,4,5,0,1,41.03,7,1,3,5,63,0,0.0
CACNA1I,blocker,pimozide,0.07,Voltage-dependent T-type calcium channel subunit alpha-1I,Ion channel,7.5,True,461.5462,5.825713467999999,False,4,5,0,1,41.03,7,1,3,5,63,0,0.0
